Time, Pos.x, Pos.y, Pos.z, Rot.x, Rot.y, Rot.z
4.359566,11.39,0,0,0,0,0
4.415957,11.39,0,0,0,0,0
4.466655,11.39,0,0,0,0,0
4.518722,11.39,0,0,0,0,0
4.571192,11.39,0,0,0,0,0
4.6249,11.39,0,0,0,0,0
4.679398,11.39,0,0,0,0,0
4.731107,11.39,0,0,0,0,0
4.782373,11.39,0,0,0,0,0
4.836252,7.9,0,0,0,0,0
4.892629,3.31,0,0,0,0,0
4.949114,-0.03,0,0,0,0,0
5.004047,-1.66,0,0,0,0,0
5.057104,-3.26,0,0,0,0,0
5.124599,-4.47,0,0,0,0,0
5.178754,-4.93,0,0,0,0,0
5.234827,-5,0,0,0,0,0
5.285895,-4.86,0,0,0,0,0
5.338645,-3.79,0,0,0,0,0
5.38989,2.57,0,0,0,0,0
5.440637,9.04,0,0,0,0,0
5.497377,10.97,0,0,0,0,0
5.550046,11.17,0,0,0,0,0
5.601506,11.21,0,0,0,0,0
5.651521,11.17,0,0,0,0,0
5.703619,10.86,0,0,0,0,0
5.756285,10,0,0,0,0,0
5.828653,8.41,0,0,0,0,0
5.883835,7.42,0,0,0,0,0
5.934709,6.56,0,0,0,0,0
5.987905,6.39,0,0,0,0,0
6.041592,6.24,0,0,0,0,0
6.096351,5.69,0,0,0,0,0
6.148054,5.53,0,0,0,0,0
6.198482,5.53,0,0,0,0,0
6.253293,5.54,0,0,0,0,0
6.306015,5.66,0,0,0,0,0
6.357784,6.11,0,0,0,0,0
6.41341,6.37,0,0,0,0,0
6.466789,6.43,0,0,0,0,0
6.51689,6.43,0,0,0,0,0
6.571941,6.43,0,0,0,0,0
6.625427,6.43,0,0,0,0,0
6.680801,6.43,0,0,0,0,0
6.731564,6.43,0,0,0,0,0
6.782663,6.48,0,0,0,0,0
6.833384,6.53,0,0,0,0,0
6.884236,6.53,0,0,0,0,0
6.936858,6.53,0,0,0,0,0
7.000266,6.59,0,0,0,0,0
7.053656,6.65,0,0,0,0,0
7.107292,7.01,0,0,0,0,0
7.15833,7.84,0,0,0,0,0
7.208497,8.19,0,0,0,0,0
7.261261,8.19,0,0,0,0,0
7.311763,8.19,0,0,0,0,0
7.36535,8.19,0,0,0,0,0
7.419909,8.19,0,0,0,0,0
7.473438,8.19,0,0,0,0,0
7.528173,8.19,0,0,0,0,0
7.583863,8.19,0,0,0,0,0
7.639975,8.19,0,0,0,0,0
7.690161,8.23,0,0,0,0,0
7.749342,8.29,0,0,0,0,0
7.799421,8.29,0,0,0,0,0
7.852049,8.29,0,0,0,0,0
7.907419,8.29,0,0,0,0,0
7.958227,8.08,0,0,0,0,0
8.023452,7.19,0,0,0,0,0
8.079372,4.95,0,0,0,0,0
8.134271,4.3,0,0,0,0,0
8.18869,4.18,0,0,0,0,0
8.24166,4.17,0,0,0,0,0
8.2974,3.54,0,0,0,0,0
8.351791,2.9,0,0,0,0,0
8.408423,2.48,0,0,0,0,0
8.459723,2.13,0,0,0,0,0
8.512811,1.77,0,0,0,0,0
8.564313,1.7,0,0,0,0,0
8.614336,1.7,0,0,0,0,0
8.667125,1.7,0,0,0,0,0
8.717958,1.7,0,0,0,0,0
8.76951,1.64,0,0,0,0,0
8.843814,1.58,0,0,0,0,0
8.894257,1.27,0,0,0,0,0
8.950092,1.03,0,0,0,0,0
9.005149,0.9,0,0,0,0,0
9.060841,0.9,0,0,0,0,0
9.114823,0.9,0,0,0,0,0
9.16912,0.9,0,0,0,0,0
9.22406,0.84,0,0,0,0,0
9.283218,0.82,0,0,0,0,0
9.339431,0.82,0,0,0,0,0
9.389744,0.82,0,0,0,0,0
9.440063,0.82,0,0,0,0,0
9.496553,0.82,0,0,0,0,0
9.547012,0.77,0,0,0,0,0
9.602586,0.71,0,0,0,0,0
9.653285,0.39,0,0,0,0,0
9.717402,-0.27,0,0,0,0,0
9.767752,-0.99,0,0,0,0,0
9.821078,-1.26,0,0,0,0,0
9.871364,-1.48,0,0,0,0,0
9.923006,-1.73,0,0,0,0,0
9.978794,-1.88,0,0,0,0,0
10.03338,-2.01,0,0,0,0,0
10.08397,-2.15,0,0,0,0,0
10.13569,-2.28,0,0,0,0,0
10.18704,-2.41,0,0,0,0,0
10.24767,-2.49,0,0,0,0,0
10.30053,-2.62,0,0,0,0,0
10.35224,-2.75,0,0,0,0,0
10.40674,-2.84,0,0,0,0,0
10.4616,-2.97,0,0,0,0,0
10.51311,-2.97,0,0,0,0,0
10.56451,-2.97,0,0,0,0,0
10.61604,-2.97,0,0,0,0,0
10.66726,-2.97,0,0,0,0,0
10.7179,-2.97,0,0,0,0,0
10.76822,-2.97,0,0,0,0,0
10.82326,-2.97,0,0,0,0,0
10.87509,-2.95,0,0,0,0,0
10.94028,-2.88,0,0,0,0,0
10.99284,-2.48,0,0,0,0,0
11.04777,-2.17,0,0,0,0,0
11.09863,-1.88,0,0,0,0,0
11.15184,-0.47,0,0,0,0,0
11.20581,2.07,0,0,0,0,0
11.26213,3.2,0,0,0,0,0
11.31345,4.04,0,0,0,0,0
